ROUTEID,INTERSECTIONKEY,INTERSECTIONNAME,ACISA,LPI,NTOR_SIGNAGE,ALL_PED_PHASE,BIKE_PHASE,QUEUE_JUMP,TRANSIT_SIGNAL_PRIORITY,PED_RECALL_MODE,HAWK,APS,MEASURE,STATUS,WARD,LATITUDE,LONGITUDE,SE_ANNO_CAD_DATA,OBJECTID,GLOBALID
,075d775cc8a9f4a0640e9fb528b03257,"25th Pl, V St & Bladensburg Rd NE",3138,Yes,No Signage,No,No,No,No,Recall,No,Yes,,Active,5,38.920027,-76.97027,,50917,{55DC0F5C-7BE7-384D-E063-782F520A01CE}
,6f2a7ea156640a8a6b78dbc58096a30f,9th St & Q St NW,2081,Yes,Completed,No,No,No,Yes,Recall,No,No,,Active,2,38.911134,-77.023981,,50918,{55DC0F5C-7BE8-384D-E063-782F520A01CE}
,feac1217b06fa51dc7c8fa838512fd2c,Georgia Ave & Randolph St NW,5144,Yes,Completed,No,No,No,Yes,Recall,No,No,,Active,4,38.938686,-77.024694,,50919,{55DC0F5C-7BE9-384D-E063-782F520A01CE}
,d5dfdcf34565f851250af45a1c3c6b92,12th St & Massachusetts Ave NW,2125,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.904308,-77.028084,,50920,{55DC0F5C-7BEA-384D-E063-782F520A01CE}
,12d50bd8defebc2bac254c70ea392c34,"Bladensburg Rd & Maryland Ave, Morse Ave NE",3143,Yes,No Signage,No,No,No,No,Recall,No,No,,Active,5,38.900801,-76.982931,,50921,{55DC0F5C-7BEB-384D-E063-782F520A01CE}
,d22022ac3aa404a6f308935c5255d11b,"New Hampshire Ave & Spring Rd NW, Princeton Pl NW",5254,Yes,Completed,No,No,No,No,Recall,No,No,,Active,1,38.935122,-77.025204,,50922,{55DC0F5C-7BEC-384D-E063-782F520A01CE}
,79c02c135ce0e61ada6d940e8e1d4d65,4th St & K St NW,2028,Yes,Completed,No,No,No,No,Recall,No,No,,Active,6,38.90252706,-77.01617827,,50923,{55DC0F5C-7BED-384D-E063-782F520A01CE}
,26a011133ca0da333a8bbdda24e8e293,9th St & P St NW,2079,Yes,Completed,No,No,No,Yes,Recall,No,No,,Active,2,38.909654,-77.023962,,50924,{55DC0F5C-7BEE-384D-E063-782F520A01CE}
,97ca3451e8a51238ef097eb84ceec72a,WISCONSIN AVENUE NW AND N STREET NW,6145,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.90683268,-77.06303876,,50925,{55DC0F5C-7BEF-384D-E063-782F520A01CE}
,36b7f47fe4bbb7e228e0fec7360f0740,4th St & W St NW,3241,Yes,No Signage,All-Ped Phase,No,No,No,Recall,No,No,,Active,1,38.919386,-77.017873,,50926,{55DC0F5C-7BF0-384D-E063-782F520A01CE}
,b0328e3ca546c35da82584bada77aa8a,"6th St & E St, South Carolina Ave SE",4019,Yes,Completed,No,No,No,No,Recall,No,No,,Active,6,38.88327,-76.998461,,50927,{55DC0F5C-7BF1-384D-E063-782F520A01CE}
,a37365bd08410935e220636d1ac6f00d,Minnesota Ave & Blaine St NE/Anacostia Rd NE,4277,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,7,38.891974,-76.951507,,50928,{55DC0F5C-7BF2-384D-E063-782F520A01CE}
,c187839c4319250c52f03c8fb302223e,8th St & I St SE,4026,Yes,No Signage,No,No,No,No,Recall,No,No,,Active,6,38.879291,-76.99498,,50929,{55DC0F5C-7BF3-384D-E063-782F520A01CE}
,c1e79a12626d1c28686b187b14efb425,BUTTERNUT STREET NW AND BLAIR ROAD NW,5274,Yes,No Signage,No,No,No,No,Recall,No,Yes,,Active,4,38.97361374,-77.01705611,,50930,{55DC0F5C-7BF4-384D-E063-782F520A01CE}
,d5d7c855aeaa420429658f311f3d349f,3rd St & Florida Ave NE,3226,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,6,38.907782,-77.001974,,50931,{55DC0F5C-7BF5-384D-E063-782F520A01CE}
,00874b1fa6f8ea85c52b6b93e6847596,KALMIA ROAD NW AND GEORGIA AVENUE NW,5117,No,Completed,No,No,No,Yes,Recall,No,No,,Active,4,38.98383965,-77.02658157,,50932,{55DC0F5C-7BF6-384D-E063-782F520A01CE}
,56aae80550394a301824ac69ffe44fc4,"Southeast Blvd, Pennsylvania Ave & John Phillip Sousa Bridge",4059,No,Completed,No,No,No,No,Actuated,No,No,,Active,6,38.87768555,-76.97962532,,50933,{55DC0F5C-7BF7-384D-E063-782F520A01CE}
,26f6ace3d88452b3d245719f0543afa9,Sherman Ave & Harvard St NW,5172,Yes,No Signage,No,No,No,No,Recall,No,No,,Active,1,38.92686,-77.025938,,50934,{55DC0F5C-7BF8-384D-E063-782F520A01CE}
,3397b12d67531d9983efd5d9ae530d47,13th St & I St NW,2136,Yes,Completed,No,No,No,Yes,Recall,No,No,,Active,2,38.90135,-77.029616,,50935,{55DC0F5C-7BF9-384D-E063-782F520A01CE}
,62d5ae98692aa06498050983ab197f14,38th St & Pennsylvania Ave SE,4144,Yes,No Signage,No,No,No,No,Actuated,No,Yes,,Active,7,38.865972,-76.952225,,50936,{55DC0F5C-7BFA-384D-E063-782F520A01CE}
,acd901ede96ca29b8e7ad07203a377e0,"3rd St & D St, North Carolina Ave SE",4006,Yes,Completed,No,No,No,No,Recall,No,No,,Active,6,38.885073,-77.00204,,50937,{55DC0F5C-7BFB-384D-E063-782F520A01CE}
,08f226145d4af4a0df31fd9796992cbe,"E Capitol St & Minnesota Ave, Ridge Rd SE",4179,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,7,38.88958204,-76.95323062,,50938,{55DC0F5C-7BFC-384D-E063-782F520A01CE}
,b9a0b55e01d123d61e8d7b4f21589341,6th St & Independence Ave SW,1201,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,6,38.887573,-77.019913,,50939,{55DC0F5C-7BFD-384D-E063-782F520A01CE}
,3cda25d04b0e25f9d4726b76ab9f6d1f,4th St & N St SW,2194,Yes,Completed,No,No,No,No,Recall,No,No,,Active,6,38.874667,-77.017559,,50940,{55DC0F5C-7BFE-384D-E063-782F520A01CE}
,8df64fc67e4c1a9c0bf292ca4032d09c,"10th St, Bryant St & Rhode Island Ave NE",3186,Yes,Completed,No,No,Yes,No,Recall,No,No,,Active,5,38.92244388,-76.9924171,,50941,{55DC0F5C-7BFF-384D-E063-782F520A01CE}
,e48d1ffbdaf258af121ffe585d07f453,"22nd St, Naylor Rd & Minnesota Ave SE",4132,Yes,Completed,No,No,Yes,No,Actuated,No,Yes,,Active,8,38.871355,-76.974995,,50942,{55DC0F5C-7C00-384D-E063-782F520A01CE}
,69a8646da964886c6ade7338f860bb6a,"11th St & I St, New York Ave NW",2106,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,2,38.901124,-77.027051,,50943,{55DC0F5C-7C01-384D-E063-782F520A01CE}
,5dedf93efb941e6431340eefe8ddc81d,Irving St & E/W Crossing NW,5151,No,No Signage,No,No,No,No,Actuated,No,Yes,,Active,5,38.930784,-77.016096,,50944,{55DC0F5C-7C02-384D-E063-782F520A01CE}
,61a3f6624f46e01960ed42a5e1615974,9th St & C St NE,3086,Yes,Completed,No,No,No,No,Recall,No,No,,Active,6,38.893588,-76.993764,,50945,{55DC0F5C-7C03-384D-E063-782F520A01CE}
,c1694759d75bbe9c4da5cbdb98f9c537,WISCONSIN AVENUE NW AND FESSENDEN STREET NW,6136,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,3,38.95470818,-77.08263403,,50946,{55DC0F5C-7C04-384D-E063-782F520A01CE}
,1fd7102f55d95ba3ca75e2512a8c88be,"12th St, Vermont Ave & R St NW",2130,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.912616,-77.027908,,50947,{55DC0F5C-7C05-384D-E063-782F520A01CE}
,8068e1a0b9e4c861b76e199fa96f05d4,New Jersey Ave & R St NW,3028,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.912609,-77.01737,,50948,{55DC0F5C-7C06-384D-E063-782F520A01CE}
,9aebb1f47099f148d26e833af738a5d1,14th St & Buchanan St NW,5242,Yes,Completed,No,No,No,No,Recall,No,No,,Active,4,38.946129,-77.032723,,50949,{55DC0F5C-7C07-384D-E063-782F520A01CE}
,96c6349102c07ecbf132ca2a83827478,22nd St & F St NW,1360,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.897364,-77.048852,,50950,{55DC0F5C-7C08-384D-E063-782F520A01CE}
,,MacArthur Blvd NW & Engine Company 29,6167,No,No Signage,No,No,No,No, ,No,No,,Active,3,38.915247,-77.093714,,50951,{55DC0F5C-7C09-384D-E063-782F520A01CE}
,d8dd1335ff56bacdcbfd42fcb5bcab8a,SLIGO MILL ROAD NE AND EASTERN AVENUE NE,5394,Yes,No Signage,No,No,No,No,Actuated,No,Yes,,Active,4,38.96656139,-77.0035551,,50952,{55DC0F5C-7C0A-384D-E063-782F520A01CE}
,8770f2e9e863909efdb8e2a85f95cecc,"9th St & Maryland Ave, E St NE",3089,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,6,38.895925,-76.993756,,50953,{55DC0F5C-7C0B-384D-E063-782F520A01CE}
,8a08ff8afc6ae4afe61dba8296fbaef8,16th St & S St NW,1058,Yes,No Signage,No,No,No,Yes,Recall,No,No,,Active,2,38.914097,-77.036518,,50955,{55DC0F5C-7C0D-384D-E063-782F520A01CE}
,b588854b0d9caded514f0984b628f281,MICHIGAN AVENUE NE AND QUINCY STREET NE,3479,No,No Signage,No,No,No,No,Actuated,Yes,Yes,,Active,5,38.93732216,-76.99189787,,50956,{55DC0F5C-7C0E-384D-E063-782F520A01CE}
,b1e4198d20fe7d73ab4649711ca6e3b1,3rd St & Adams Dr SW (Midblock Ped Crossing),2178,No,No Signage,No,No,No,No,Recall,No,No,,Active,2,38.88938723,-77.01519137,,50957,{55DC0F5C-7C0F-384D-E063-782F520A01CE}
,8b9b00a800d9ab8785d1bc0a9e4152b2,10th St & P St NW,2097,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.909648,-77.025996,,50958,{55DC0F5C-7C10-384D-E063-782F520A01CE}
,d419e325b1f3eff0511740657c6486a9,"10th St, Vermont Ave & T St NW",2101,Yes,Completed,No,No,No,No,Recall,No,No,,Active,1,38.91558003,-77.02615164,,50959,{55DC0F5C-7C11-384D-E063-782F520A01CE}
,85f03bdfe4f565875f0dee051e0212a8,7th St & Adams Dr SW (Midblock Ped Crossing),1203,No,No Signage,No,No,No,No,Recall,No,No,,Active,2,38.889356,-77.021898,,50960,{55DC0F5C-7C12-384D-E063-782F520A01CE}
,21f8b83f85c4ca247fe2449330db534d,23rd St & N St NW,1162,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.907246,-77.050109,,50961,{55DC0F5C-7C13-384D-E063-782F520A01CE}
,4f16eeeb050a884c410ccf5976c8b1bc,"18th St, Stanton Terrace & Alabama Ave SE (HAWK)",3471,No,No Signage,No,No,No,No,Actuated,Yes,Yes,,Active,8,38.847445,-76.979174,,50962,{55DC0F5C-7C14-384D-E063-782F520A01CE}
,da7d1baecc52ae4e958760ff95fbdfcd,7th St & D St NW,2053,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.89484,-77.021914,,50963,{55DC0F5C-7C15-384D-E063-782F520A01CE}
,7c5f191b3fc26dc72c43c609d7bcb771,16th St & Constitution Ave NW,1049,Yes,No Signage,No,No,No,No,Recall,No,Yes,,Active,2,38.89210424,-77.03654376,,50964,{55DC0F5C-7C16-384D-E063-782F520A01CE}
,af2009138d1d40bf89992fa359d493c1,22nd St & E Capitol St (South),3433,Yes,Completed,No,No,No,No,Actuated,No,No,,Active,7,38.889393,-76.97382,,50965,{55DC0F5C-7C17-384D-E063-782F520A01CE}
,271431e620c170267ebcbd4f3625b7de,19th St & Massachusetts Ave SE,4056,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,7,38.884533,-76.977267,,50966,{55DC0F5C-7C18-384D-E063-782F520A01CE}
,5f3885ce5ef302749b341148a370fab2,19th St & F St NW,1107,Yes,No Signage,No,No,No,Yes,Recall,No,No,,Active,2,38.897364,-77.043472,,50967,{55DC0F5C-7C19-384D-E063-782F520A01CE}
,e9b95dbe63031a20d36fd7cd16aeb157,S Capitol St & Livingston Rd SE,4189,Yes,Completed,No,No,No,No,Recall,No,No,,Active,8,38.82197272,-77.00218977,,50968,{55DC0F5C-7C1A-384D-E063-782F520A01CE}
,c4098e7808323c506438d37d2383bed5,17th St NW & Constitution Ave NW,1065,Yes,No Signage,No,No,No,No,Recall,No,Yes,,Active,2,38.892113,-77.039474,,50969,{55DC0F5C-7C1B-384D-E063-782F520A01CE}
,d2bc5b8c7761abb35ecd4e8ad0c40dd7,M St & Isaac Hull Ave SE,2249,Yes,Completed,No,No,No,Yes,Recall,No,Yes,,Active,8,38.876489,-76.997762,,50970,{55DC0F5C-7C1C-384D-E063-782F520A01CE}
,a34a471c6a35061586ca060c4eb3ad2d,13th St & Clifton St NW,5032,Yes,Completed,No,No,No,No,Recall,No,No,,Active,1,38.922437,-77.029707,,50971,{55DC0F5C-7C1D-384D-E063-782F520A01CE}
,905a36dbd326bf89f14a37b00fe93d1d,6th St & Virginia Ave SE,4020,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,6,38.879893,-76.998485,,50972,{55DC0F5C-7C1E-384D-E063-782F520A01CE}
,295cd25af47de534ab6ade1a2f81440d,20th St & N St NW,1254,Yes,Completed,No,No,No,Yes,Recall,No,No,,Active,2,38.90725,-77.044902,,50973,{55DC0F5C-7C1F-384D-E063-782F520A01CE}
,2831d68789d69d857d38fcb886a2539c,3rd St & Washington Dr NW (Midblock Ped Crossing),2024,No,No Signage,No,No,No,No,Recall,No,No,,Active,2,38.890051,-77.015206,,50974,{55DC0F5C-7C20-384D-E063-782F520A01CE}
,e7017bc1086461d80283c2d86f95d8e6,"13th St & H St, New York Ave NW",2135,No,Completed,No,No,No,No,Recall,No,No,,Active,2,38.90022399,-77.02963667,,50975,{55DC0F5C-7C21-384D-E063-782F520A01CE}
,01e1d1f569a8833e7b3d385dc82bf891,S Capitol St & Malcolm X Ave SE (Portland Ave),4249,Yes,Completed,No,No,No,No,Recall,No,No,,Active,8,38.84510143,-77.00815498,,50976,{55DC0F5C-7C22-384D-E063-782F520A01CE}
,8d51c21a8958f4e17ef9eba54e5686a6,"9th St, Florida Ave & V St NW",5275,Yes,No Signage,No,Yes,No,No,Recall,No,Yes,,Active,1,38.917751,-77.023954,,50977,{55DC0F5C-7C23-384D-E063-782F520A01CE}
,445413e674dbe45305970fbcda74e03b,"13th St & Pennsylvania Ave, Lower E St NW",2131,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.89545439,-77.02963538,,50978,{55DC0F5C-7C24-384D-E063-782F520A01CE}
,66ef4cbd78c8a6b8c175555e128f69b7,7th St & Indiana Ave NW,2060,Yes,Completed,No,No,No,No,Recall,No,No,,Active,2,38.893904,-77.021903,,50979,{55DC0F5C-7C25-384D-E063-782F520A01CE}
,b09ac228c79fd76d86de1657c39ea94a,6th St & Independence Ave SE,4016,Yes,Completed,No,No,No,No,Recall,No,No,,Active,6,38.887595,-76.998457,,50980,{55DC0F5C-7C26-384D-E063-782F520A01CE}
,7ea79b69278c90cddcdf28bbd84bdda9,23rd St & G St NW,1157,Yes,No Signage,No,No,No,Yes,Recall,No,No,,Active,2,38.898343,-77.050142,,50981,{55DC0F5C-7C27-384D-E063-782F520A01CE}
,f51470abc2354c884bdfb20a02dc9bfd,Benning Rd & C St SE (North),4227,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,7,38.886543,-76.936155,,50982,{55DC0F5C-7C28-384D-E063-782F520A01CE}
,d4a397d0b26ac877920cb31daab93e51,17th St & Rhode Island Ave NW,1082,Yes,Completed,No,No,No,No,Recall,No,Yes,,Active,2,38.90656,-77.038511,,50983,{55DC0F5C-7C29-384D-E063-782F520A01CE}
,a54fb33e055b4e099531f0d2cdfe40f1,Alabama Ave & Wheeler Rd SE,4105,Yes,Completed,No,No,No,Yes,Recall,No,Yes,,Active,8,38.84368,-76.994234,,50984,{55DC0F5C-7C2A-384D-E063-782F520A01CE}
,2b48513bb038eb40431cdcbea53d5e63,WISCONSIN AVENUE NW AND W PLACE NW,6153,Yes,No Signage,No,No,No,No,Recall,No,No,,Active,3,38.91920559,-77.07064243,,50985,{55DC0F5C-7C2B-384D-E063-782F520A01CE}
